full name	name
A.K.	A.K.
Al	Al
Alex Lesman	Alex
Allen Prescott	Allen
Andrew	Andrew
Anna Nardini	Anna
April Nardini	April
Reverend Archie Skinner	Reverend
Asher Fleming	Asher
Babette Dell	Babette
Beau Belleville	Beau
Bill	Bill
Bootsy	Bootsy
Brad Langford	Brad
Brennon Lewis	Brennon
Brian Fuller	Brian
Burt	Burt
Caesar	Caesar
Carol Stiles	Carol
Carrie Duncan	Carrie
Cat Kirk	Cat
Charles Gilmore	Charles
Charlie Eichner	Charlie
Christine	Christine
Christopher Hayden	Christopher
Cissy	Chris
Clara Forester	Clara
Colin McCrae	Colin
Cyrus	Cyrus
Dave Rygalski	Dave
Davey Belleville	Davey
Rabbi David Barans	Rabbi
Dean Forester	Dean
Derek	Derek
Doug Doose	Doug
Doula	Doula
Doyle McMaster	Doyle
Drella	Drella
Elias Huntzberger	Elias
Emily Gilmore	Emily
Finn	Finn
Floyd Stiles	Floyd
Fran Weston	Fran
Francie Jarvis	Francie
Francine Hayden	Francine
Georgia Hayden	Georgia
Gil	Gil
Gisele Gerard	Gisele
Glenn Babble	Glenn
Graham Sullivan	Graham
Gypsy	Gypsy
Hanlin Charleston	Hanlin
Harry Porter	Harry
Henry Cho	Henry
Hollan Prescott	Hollan
Honor Huntzberger	Honor
Hope	Hope
Ian Jack	Ian
Jackson Belleville	Jackson
Jacob	Jacob
Jamie	Jamie
Janet Billings	Janet
Jason Stiles	Jason
Jeannie	Digger
Jed	Jed
Jess Mariano	Jess
Jimmy Mariano	Jimmy
Joe	Joe
Joe (Lane's uncle)	Joe
Joey	Joey
Joni	Joni
Josh	Josh
Joshua Reynolds	Joshua
Juliet	Juliet
Kirk Gleason	Kirk
Kwan Van Gerbig	Kwan
Kyle	Kyle
Kyon	Kyon
Lane Kim	Lane
Lars	Lars
Lily	Lily
Lindsay Lister	Lindsay
Liz Danes	Liz
Logan Huntzberger	Logan
"Lorelai ""Trix"" Gilmore"	Lorelai
Lorelai Gilmore	Trix
Louise Grant	Louise
Lucy	Lucy
Luke Danes	Luke
Lulu Kuschner	Lulu
Madeline Lynn	Madeline
Marilyn Gilmore	Marilyn
Martha Belleville	Martha
Martia	Martia
Marty	Marty
Max Medina	Max
Melinda Nelson	Melinda
Mia Bass	Mia
Michel Gerard	Michel
Miss Celine	Miss
Miss Patty	Miss
Mitchum Huntzberger	Mitchum
Mitzi Hollerman	Mitzi
Morey Dell	Morey
Mr. Kim	Mr.
Mr. Remmy	Mr.
Mrs. Cassini	Mrs.
Mrs. Geller	Mrs.
Mrs. Gleason	Mrs.
Mrs. Kim	Mrs.
Mrs. O'Malley	Mrs.
Ms. Caldicott	Ms.
Ms. Ness	Ms.
Nicole Leahy	Nicole
Officer Weston	Officer
Olivia Marquont	Olivia
Paris Geller	Paris
Pasquale	Pasquale
Paul Anka	Paul
Pennilyn Lott	Pennilyn
Pete	Pete
Rachel	Rachel
Raj	Raj
Richard Gilmore	Richard
Robert	Robert
Roon	Roon
Rory Gilmore	Rory
Rosemary	Rosemary
Sasha	Sasha
Shane	Shane
Sheila	Sheila
Sherry Tinsdale	Sherry
Shira Huntzberger	Shira
Sookie St. James	Sookie
Sophie Bloom	Sophie
Steve Van Gerbig	Steve
Straub Hayden	Straub
Susan Bennett	Susan
Sy	Sy
T.J.	T.J.
T.J.'s brother	T.J.'s
Tana Schrick	Tana
Taylor Doose	Taylor
Terrance	Terrance
The Second Troubadour	The
Tobin	Tobin
Todd	Todd
Tom	Tom
Town Troubadour	Town
Trevor	Trevor
Tristin Dugray	Tristin
William Danes	William
Young Chui	Young
Zach	Chui
Zack Van Gerbig	Zack
